name,developers,is_free,negative,owners,positive,publishers,release_yyyy_mm,category_descriptions,genre_descriptions,tags_list
Dying Light 2 Stay Human: Reloaded Edition,['Techland'],False,40708,"5,000,000 .. 10,000,000",154122,['Techland'],2022-02-01,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'RPG']","['Open World', 'Co-op', 'Zombies', 'Parkour', 'Multiplayer', 'Horror', 'Gore', 'Combat', 'Post-apocalyptic', 'Survival', 'First-Person', 'Exploration', 'Singleplayer', 'Action RPG', 'Action', 'Adventure', 'Action-Adventure', 'Violent', 'Multiple Endings', 'Choices Matter']"
Age of Empires II: Definitive Edition,"[""World's Edge"", 'Forgotten Empires', 'Tantalus Media', 'Wicked Witch', 'CaptureAge', ""World's Edge""]",False,8401,"2,000,000 .. 5,000,000",154061,['Xbox Game Studios'],2019-11-01,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",['Strategy'],"['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Base-Building', 'Historical', 'Singleplayer', 'Medieval', 'Resource Management', 'Classic', 'Tactical', 'Real-Time', 'Co-op', 'Remake', 'Isometric', '2D', 'Replay Value', 'Action', 'Adventure', 'Great Soundtrack']"
Assassin's Creed® Odyssey,"['Ubisoft Quebec', 'Ubisoft Montreal', 'Ubisoft Bucharest', 'Ubisoft Singapore', 'Ubisoft Montpellier', 'Ubisoft Kiev', 'Ubisoft Shanghai']",False,19102,"5,000,000 .. 10,000,000",153091,['Ubisoft'],2018-10-01,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'HDR available']","['Action', 'Adventure', 'RPG']","['Open World', 'RPG', 'Singleplayer', 'Historical', 'Action', 'Assassin', 'Third Person', 'Adventure', 'Mythology', 'Stealth', 'Multiple Endings', 'Story Rich', 'Female Protagonist', 'Parkour', 'Choices Matter', 'Exploration', 'Action RPG', 'Multiplayer', 'Action-Adventure', 'Choose Your Own Adventure']"
Stray,['BlueTwelve Studio'],False,4295,"5,000,000 .. 10,000,000",152312,['Annapurna Interactive'],2022-07-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Indie']","['Cats', 'Adventure', 'Atmospheric', 'Cyberpunk', 'Singleplayer', 'Cute', 'Exploration', 'Robots', 'Beautiful', 'Puzzle', 'Third Person', 'Horror', 'Sci-fi', 'Indie', 'Dystopian ', 'Open World', 'Mystery', 'Action', 'Colorful', 'Stealth']"
Starbound,['Chucklefish'],False,12756,"2,000,000 .. 5,000,000",152150,['Chucklefish'],2016-07-01,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['Open World Survival Craft', 'Sandbox', 'Survival', 'Space', 'Adventure', 'Crafting', 'Pixel Graphics', 'Online Co-Op', 'Multiplayer', 'Open World', 'Exploration', 'Relaxing', 'Indie', '2D', 'Action', 'Building', 'Co-op', 'RPG', 'Atmospheric', 'Sci-fi']"
God of War,"['Santa Monica Studio', 'Jetpack Interactive']",False,6311,"5,000,000 .. 10,000,000",151706,['PlayStation Publishing LLC'],2022-01-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'RPG']","['Action', 'Singleplayer', 'Story Rich', 'Mythology', 'Adventure', 'Combat', 'Third Person', 'RPG', 'Hack and Slash', 'Violent', 'Open World', 'Fantasy', 'Exploration', 'Atmospheric', 'Action RPG', 'Gore', 'Souls-like', 'Emotional', '3D', 'PvE']"
Balatro,['LocalThunk'],False,3042,"2,000,000 .. 5,000,000",150524,['Playstack'],2024-02-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Strategy']","['Card Game', 'Roguelike Deckbuilder', 'Rogue-like', 'Deckbuilding', 'Singleplayer', 'Strategy', 'Pixel Graphics', 'Replay Value', 'Rogue-lite', 'Turn-Based', 'Card Battler', 'Casual', 'Difficult', 'Choices Matter', '2D', 'Turn-Based Strategy', 'Indie', 'Relaxing', 'Arcade', 'Procedural Generation']"
The Sims™ 4,['Maxis'],True,21663,"10,000,000 .. 20,000,000",149064,['Electronic Arts'],2020-06-01,"['Single-player', 'Steam Trading Cards', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Remote Play on Tablet']","['Adventure', 'Casual', 'Simulation', 'Free To Play']","['Life Sim', 'Character Customization', 'Free to Play', 'Building', 'Romance', 'Simulation', 'Sandbox', 'Singleplayer', 'Dating Sim', 'Relaxing', 'Casual', 'Realistic', 'Family Friendly', 'Funny', 'Immersive Sim', 'Cute', 'Fantasy', 'Adventure', 'Cartoony', 'Nudity']"
Grand Theft Auto IV: The Complete Edition,"['Rockstar North', 'Rockstar Toronto']",False,30691,"5,000,000 .. 10,000,000",144493,['Rockstar Games'],2020-03-01,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']","['Action', 'Adventure']","['Open World', 'Action', 'Automobile Sim', 'Multiplayer', 'Crime', 'Third Person', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Moddable', 'Sandbox', 'Shooter', 'Physics', 'Atmospheric', 'Classic', 'Dark Humor', 'Funny', 'Gore', 'Satire', 'Co-op']"
Half-Life,['Valve'],False,5135,"10,000,000 .. 20,000,000",143086,['Valve'],1998-11-01,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Action'],"['FPS', 'Classic', ""1990's"", 'Singleplayer', 'Sci-fi', 'Multiplayer', 'Shooter', 'Action', 'First-Person', 'Aliens', 'Story Rich', 'Silent Protagonist', 'Atmospheric', 'Gore', 'Retro', 'Moddable', 'Adventure', 'Action-Adventure', 'Difficult', 'PvP']"
